,Open,High,Low,Close,Volume,datetime
460,321.16,323.64,321.1,322.41,77783121,1578031200000
461,320.49,323.73,320.36,323.64,55761948,1578290400000
462,323.02,323.54,322.24,322.73,42854811,1578376800000
463,322.94,325.78,322.67,324.45,68434153,1578463200000
464,326.16,326.73,325.52,326.65,48569601,1578549600000
465,327.2899,327.46,325.2,325.71,53057389,1578636000000
466,326.39,327.96,325.92,327.95,47262010,1578895200000
467,327.47,328.62,326.844,327.45,63036384,1578981600000
468,327.35,329.02,327.26,328.19,72056598,1579068000000
469,329.7,330.92,329.45,330.92,54050328,1579154400000
470,331.7,332.18,330.8539,331.95,95846017,1579240800000
471,330.9,332.18,330.82,331.3,77742415,1579586400000
472,332.24,332.95,331.17,331.34,48914899,1579672800000
473,330.63,332.1682,329.41,331.72,51962994,1579759200000
474,332.44,332.53,327.36,328.77,87578442,1579845600000
475,323.03,325.12,322.66,323.5,84062463,1580104800000
476,325.06,327.85,323.6038,326.89,63833953,1580191200000
477,328.38,328.63,326.4,326.62,54040889,1580277600000
478,324.36,327.91,323.54,327.68,75491844,1580364000000
479,327.0,327.17,320.73,321.73,113845576,1580450400000
480,323.35,326.16,323.22,324.12,69242293,1580709600000
481,328.07,330.01,327.72,329.06,62573190,1580796000000
482,332.27,333.09,330.67,332.86,65951146,1580882400000
483,333.91,334.19,332.8,333.98,50359688,1580968800000
484,332.82,333.9941,331.6,332.2,64139443,1581055200000
485,331.23,334.75,331.19,334.68,42070006,1581314400000
486,336.16,337.02,334.684,335.26,54864533,1581400800000
487,336.83,337.65,336.43,337.42,43992662,1581487200000
488,335.8621,338.12,335.56,337.06,54501922,1581573600000
489,337.51,337.73,336.2,337.6,64582210,1581660000000
490,336.51,337.6677,335.21,336.73,57342526,1582005600000
491,337.79,339.08,337.48,338.34,48814692,1582092000000
492,337.7423,338.64,333.6817,336.95,74163362,1582178400000
